0.10000,0.10000,0.10000
0.00000,0.00000,0.00000	0.00000,0.00000,0.03000	-0.03364,-0.09417,0.03000	-0.00058,-0.00163,0.04851	0.05666,0.15862,0.10718
0.00000,0.00000,0.00000	0.00000,0.00000,0.03000	-0.07444,-0.06637,0.03734	-0.03816,-0.03402,0.12473	0.08901,0.07936,0.06666
0.00000,0.00000,0.00000	0.00000,0.00000,0.03000	-0.07444,-0.06637,0.03734	-0.03816,-0.03402,0.12473	0.08901,0.07936,0.06666
0.00000,0.00000,0.00000	0.00000,0.00000,0.03000	-0.07444,-0.06637,0.03734	-0.03816,-0.03402,0.12473	0.08901,0.07936,0.06666
0.00000,0.00000,0.00000	0.00000,0.00000,0.03000	-0.08300,-0.05529,0.03734	-0.04372,-0.02913,0.12550	0.10607,0.07067,0.12698
0.00000,0.00000,0.00000	0.00000,0.00000,0.03000	-0.08300,-0.05529,0.03734	-0.04372,-0.02913,0.12550	0.10607,0.07067,0.12698
0.00000,0.00000,0.00000	0.00000,0.00000,0.03000	-0.07197,-0.06942,0.03049	-0.01231,-0.01187,0.08642	0.11634,0.11222,0.10768
0.00000,0.00000,0.00000	0.00000,0.00000,0.03000	-0.07197,-0.06942,0.03049	-0.01231,-0.01187,0.08642	0.11634,0.11222,0.10768
0.00000,0.00000,0.00000	0.00000,0.00000,0.03000	-0.07197,-0.06942,0.03049	-0.01231,-0.01187,0.08642	0.11634,0.11222,0.10768
0.00000,0.00000,0.00000	0.00000,0.00000,0.03000	-0.07282,-0.06854,0.03000	-0.02204,-0.02074,0.10168	0.10892,0.10251,0.09411
0.00000,0.00000,0.00000	0.00000,0.00000,0.03000	-0.07282,-0.06854,0.03000	-0.02204,-0.02074,0.10168	0.10892,0.10251,0.09411
0.00000,0.00000,0.00000	0.00000,0.00000,0.03000	-0.07282,-0.06854,0.03000	-0.02204,-0.02074,0.10168	0.10892,0.10251,0.09411
0.00000,0.00000,0.00000	0.00000,0.00000,0.03000	-0.07434,-0.06688,0.03000	-0.03057,-0.02750,0.11083	0.10265,0.09235,0.09378
0.00000,0.00000,0.00000	0.00000,0.00000,0.03000	-0.07434,-0.06688,0.03000	-0.03057,-0.02750,0.11083	0.10265,0.09235,0.09378
0.00000,0.00000,0.00000	0.00000,0.00000,0.03000	-0.07434,-0.06688,0.03000	-0.03057,-0.02750,0.11083	0.10265,0.09235,0.09378
0.00000,0.00000,0.00000	0.00000,0.00000,0.03000	-0.07197,-0.06942,0.03000	-0.02853,-0.02752,0.10972	0.10098,0.09740,0.10475
0.00000,0.00000,0.00000	0.00000,0.00000,0.03000	-0.07197,-0.06942,0.03000	-0.02853,-0.02752,0.10972	0.10098,0.09740,0.10475
0.00000,0.00000,0.00000	0.00000,0.00000,0.03000	-0.07197,-0.06942,0.03000	-0.02853,-0.02752,0.10972	0.10098,0.09740,0.10475
0.00000,0.00000,0.00000	0.00000,0.00000,0.03000	-0.07197,-0.06942,0.03000	-0.02853,-0.02752,0.10972	0.10098,0.09740,0.10475
0.00000,0.00000,0.00000	0.00000,0.00000,0.03000	-0.07197,-0.06942,0.03000	-0.02853,-0.02752,0.10972	0.10098,0.09740,0.10475
0.00000,0.00000,0.00000	0.00000,0.00000,0.03000	-0.07197,-0.06942,0.03000	-0.02853,-0.02752,0.10972	0.10098,0.09740,0.10475
0.00000,0.00000,0.00000	0.00000,0.00000,0.03000	-0.07197,-0.06942,0.03000	-0.02853,-0.02752,0.10972	0.10098,0.09740,0.10475
0.00000,0.00000,0.00000	0.00000,0.00000,0.03000	-0.07197,-0.06942,0.03000	-0.02853,-0.02752,0.10972	0.10098,0.09740,0.10475
0.00000,0.00000,0.00000	0.00000,0.00000,0.03000	-0.06972,-0.07169,0.03021	-0.02855,-0.02936,0.11091	0.09662,0.09934,0.09790
0.00000,0.00000,0.00000	0.00000,0.00000,0.03000	-0.07226,-0.06913,0.03000	-0.02802,-0.02681,0.10907	0.10188,0.09747,0.10008
